p,q,r,s,M,J,H,Ht,A,A_over_J_minus_M,A_over_J,A_over_M,H_over_J,R_p,R_q,exchange_delta
3,5,1,1,15,90,66,39,27,9/25,3/10,9/5,11/15,11/3,47/3,0
3,5,1,2,75,1350,924,501,423,141/425,47/150,141/25,154/225,317/141,2173/141,0
3,5,1,3,375,20250,13572,7053,6519,41/125,2173/6750,2173/125,754/1125,4101/2173,,0
3,5,2,1,45,540,342,243,99,1/5,11/60,11/5,19/30,73/11,317/33,0
3,5,2,2,225,8100,4638,3687,951,317/2625,317/2700,317/75,773/1350,1371/317,4101/317,0
3,5,2,3,1125,121500,67464,55161,12303,1367/13375,1367/13500,1367/125,1874/3375,12107/4101,,0
3,5,3,1,135,3240,2016,1359,657,73/345,73/360,73/15,28/45,,457/73,0
3,5,3,2,675,48600,26694,22581,4113,457/5325,457/5400,457/75,1483/2700,,12107/1371,0
3,5,3,3,3375,729000,384348,348027,36321,12107/241875,12107/243000,12107/1125,32029/60750,,,0
3,7,1,1,21,168,120,69,51,17/49,17/56,17/7,5/7,71/17,491/17,0
3,7,1,2,147,4704,3162,1689,1473,491/1519,491/1568,491/49,527/784,1197/491,14329/491,0
3,7,1,3,1029,131712,87864,44877,42987,2047/6223,2047/6272,2047/49,523/784,30363/14329,,0
3,7,2,1,63,1008,642,429,213,71/315,71/336,71/21,107/168,321/71,1197/71,0
3,7,2,2,441,28224,16128,12537,3591,19/147,57/448,57/7,4/7,143/57,10121/399,0
3,7,2,3,3087,790272,442224,351135,91089,10121/87465,10121/87808,10121/343,3071/5488,62873/30363,,0
3,7,3,1,189,6048,3600,2637,963,107/651,107/672,107/21,25/42,,1001/107,0
3,7,3,2,1323,169344,89838,80829,9009,143/2667,143/2688,143/21,713/1344,,62873/3003,0
3,7,3,3,9261,4741632,2469756,2281137,188619,62873/1577457,62873/1580544,62873/3087,205813/395136,,,0
5,7,1,1,35,420,276,179,97,97/385,97/420,97/35,23/35,977/97,2311/97,0
5,7,1,2,245,11760,7158,4847,2311,2311/11515,2311/11760,2311/245,1193/1960,8231/2311,65245/2311,0
5,7,1,3,1715,329280,198120,132875,65245,13049/65513,13049/65856,13049/343,1651/2744,49117/13049,,0
5,7,2,1,175,6300,3726,2749,977,977/6125,977/6300,977/175,207/350,12841/977,8231/977,0
5,7,2,2,1225,176400,92928,84697,8231,8231/175175,8231/176400,8231/1225,1936/3675,56767/8231,245585/8231,0
5,7,2,3,8575,4939200,2596680,2351095,245585,49117/986125,49117/987840,49117/1715,7213/13720,934357/245585,,0
5,7,3,1,875,94500,54108,41267,12841,12841/93625,12841/94500,12841/875,501/875,,56767/12841,0
5,7,3,2,6125,2646000,1354446,1297679,56767,56767/2639875,56767/2646000,56767/6125,75247/147000,,934357/56767,0
5,7,3,3,42875,74088000,37532616,36598259,934357,934357/74045125,934357/74088000,934357/42875,1563859/3087000,,,0
